ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
"Color [A=255, R=255, G=0, B=255]",Crossline,Photons,15,Water,"10, 10"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,-9.05,0,10,2.75,
,-8.95,0,10,2.76,
,-8.85,0,10,2.84,
,-8.75,0,10,2.91,
,-8.65,0,10,2.98,
,-8.55,0,10,3.08,
,-8.45,0,10,3.24,
,-8.35,0,10,3.3,
,-8.25,0,10,3.4,
,-8.15,0,10,3.52,
,-8.05,0,10,3.63,
,-7.95,0,10,3.74,
,-7.85,0,10,3.88,
,-7.75,0,10,3.96,
,-7.65,0,10,4.1,
,-7.55,0,10,4.28,
,-7.45,0,10,4.45,
,-7.35,0,10,4.59,
,-7.25,0,10,4.69,
,-7.15,0,10,4.95,
,-7.05,0,10,5.18,
,-6.95,0,10,5.4,
,-6.85,0,10,5.62,
,-6.75,0,10,5.88,
,-6.65,0,10,6.24,
,-6.55,0,10,6.54,
,-6.45,0,10,6.9,
,-6.35,0,10,7.32,
,-6.25,0,10,7.82,
,-6.15,0,10,8.41,
,-6.05,0,10,9.08,
,-5.95,0,10,9.89,
,-5.85,0,10,10.9,
,-5.75,0,10,12.17,
,-5.65,0,10,13.75,
,-5.55,0,10,15.74,
,-5.45,0,10,18.24,
,-5.35,0,10,22.4,
,-5.25,0,10,27.97,
,-5.15,0,10,34.83,
,-5.05,0,10,42.89,
,-4.95,0,10,51.75,
,-4.85,0,10,60.9,
,-4.75,0,10,69.38,
,-4.65,0,10,76.58,
,-4.55,0,10,82.31,
,-4.45,0,10,86.6,
,-4.35,0,10,89.78,
,-4.25,0,10,92.01,
,-4.15,0,10,93.43,
,-4.05,0,10,94.59,
,-3.95,0,10,95.51,
,-3.85,0,10,96.24,
,-3.75,0,10,96.84,
,-3.65,0,10,97.36,
,-3.55,0,10,97.73,
,-3.45,0,10,98.03,
,-3.35,0,10,98.29,
,-3.25,0,10,98.51,
,-3.15,0,10,98.67,
,-3.05,0,10,98.94,
,-2.95,0,10,99.17,
,-2.85,0,10,99.29,
,-2.75,0,10,99.36,
,-2.65,0,10,99.45,
,-2.55,0,10,99.6,
,-2.45,0,10,99.61,
,-2.35,0,10,99.79,
,-2.25,0,10,99.95,
,-2.15,0,10,100.05,
,-2.05,0,10,100.1,
,-1.95,0,10,100.12,
,-1.85,0,10,100.12,
,-1.75,0,10,100.16,
,-1.65,0,10,100.22,
,-1.55,0,10,100.26,
,-1.45,0,10,100.27,
,-1.35,0,10,100.28,
,-1.25,0,10,100.34,
,-1.15,0,10,100.3,
,-1.05,0,10,100.29,
,-0.95,0,10,100.3,
,-0.85,0,10,100.3,
,-0.75,0,10,100.28,
,-0.65,0,10,100.22,
,-0.55,0,10,100.1,
,-0.45,0,10,99.99,
,-0.35,0,10,99.96,
,-0.25,0,10,99.98,
,-0.15,0,10,99.98,
,-0.05,0,10,99.99,
,0.05,0,10,100.02,
,0.15,0,10,100.05,
,0.25,0,10,100.08,
,0.35,0,10,100.14,
,0.45,0,10,100.21,
,0.55,0,10,100.15,
,0.65,0,10,100.13,
,0.75,0,10,100.14,
,0.85,0,10,100.19,
,0.95,0,10,100.32,
,1.05,0,10,100.56,
,1.15,0,10,100.16,
,1.25,0,10,100.05,
,1.35,0,10,100.02,
,1.45,0,10,99.97,
,1.55,0,10,99.88,
,1.65,0,10,99.73,
,1.75,0,10,99.9,
,1.85,0,10,99.82,
,1.95,0,10,99.7,
,2.05,0,10,99.61,
,2.15,0,10,99.55,
,2.25,0,10,99.44,
,2.35,0,10,99.34,
,2.45,0,10,99.3,
,2.55,0,10,99.24,
,2.65,0,10,99.16,
,2.75,0,10,99.07,
,2.85,0,10,98.97,
,2.95,0,10,98.9,
,3.05,0,10,98.75,
,3.15,0,10,98.53,
,3.25,0,10,98.28,
,3.35,0,10,98.06,
,3.45,0,10,97.9,
,3.55,0,10,97.56,
,3.65,0,10,97.21,
,3.75,0,10,96.77,
,3.85,0,10,96.2,
,3.95,0,10,95.48,
,4.05,0,10,94.66,
,4.15,0,10,93.52,
,4.25,0,10,91.99,
,4.35,0,10,89.91,
,4.45,0,10,87.09,
,4.55,0,10,83.17,
,4.65,0,10,77.98,
,4.75,0,10,70.12,
,4.85,0,10,61.25,
,4.95,0,10,52.03,
,5.05,0,10,42.94,
,5.15,0,10,34.38,
,5.25,0,10,26.77,
,5.35,0,10,22.17,
,5.45,0,10,18.68,
,5.55,0,10,15.96,
,5.65,0,10,13.8,
,5.75,0,10,12.11,
,5.85,0,10,10.87,
,5.95,0,10,9.9,
,6.05,0,10,9.07,
,6.15,0,10,8.39,
,6.25,0,10,7.82,
,6.35,0,10,7.3,
,6.45,0,10,6.83,
,6.55,0,10,6.49,
,6.65,0,10,6.19,
,6.75,0,10,5.88,
,6.85,0,10,5.59,
,6.95,0,10,5.35,
,7.05,0,10,5.16,
,7.15,0,10,4.96,
,7.25,0,10,4.77,
,7.35,0,10,4.59,
,7.45,0,10,4.41,
,7.55,0,10,4.25,
,7.65,0,10,4.12,
,7.75,0,10,3.96,
,7.85,0,10,3.83,
,7.95,0,10,3.71,
,8.05,0,10,3.59,
,8.15,0,10,3.46,
,8.25,0,10,3.38,
,8.35,0,10,3.29,
,8.45,0,10,3.18,
,8.55,0,10,3.07,
,8.65,0,10,2.98,
,8.75,0,10,2.93,
,8.85,0,10,3.13,
,8.95,0,10,3.67,
"Color [A=255, R=255, G=69, B=0]",Inline,Photons,15,Water,"10, 10"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,9.05,10,3.51,
,0,8.95,10,2.67,
,0,8.85,10,2.35,
,0,8.75,10,2.38,
,0,8.65,10,2.48,
,0,8.55,10,2.57,
,0,8.45,10,2.65,
,0,8.35,10,2.71,
,0,8.25,10,2.84,
,0,8.15,10,2.95,
,0,8.05,10,3.05,
,0,7.95,10,3.14,
,0,7.85,10,3.23,
,0,7.75,10,3.31,
,0,7.65,10,3.54,
,0,7.55,10,3.69,
,0,7.45,10,3.82,
,0,7.35,10,3.95,
,0,7.25,10,4.1,
,0,7.15,10,4.33,
,0,7.05,10,4.49,
,0,6.95,10,4.73,
,0,6.85,10,5,
,0,6.75,10,5.28,
,0,6.65,10,5.6,
,0,6.55,10,5.97,
,0,6.45,10,6.36,
,0,6.35,10,6.81,
,0,6.25,10,7.36,
,0,6.15,10,8.01,
,0,6.05,10,8.72,
,0,5.95,10,9.48,
,0,5.85,10,10.61,
,0,5.75,10,12,
,0,5.65,10,13.74,
,0,5.55,10,15.91,
,0,5.45,10,18.66,
,0,5.35,10,22.25,
,0,5.25,10,29,
,0,5.15,10,37.24,
,0,5.05,10,46.41,
,0,4.95,10,56.05,
,0,4.85,10,65.72,
,0,4.75,10,75.1,
,0,4.65,10,81.18,
,0,4.55,10,85.6,
,0,4.45,10,88.83,
,0,4.35,10,91.19,
,0,4.25,10,93.01,
,0,4.15,10,94.57,
,0,4.05,10,95.39,
,0,3.95,10,96.11,
,0,3.85,10,96.75,
,0,3.75,10,97.32,
,0,3.65,10,97.79,
,0,3.55,10,98.17,
,0,3.45,10,98.43,
,0,3.35,10,98.6,
,0,3.25,10,98.72,
,0,3.15,10,98.82,
,0,3.05,10,98.91,
,0,2.95,10,98.93,
,0,2.85,10,99.14,
,0,2.75,10,99.3,
,0,2.65,10,99.43,
,0,2.55,10,99.56,
,0,2.45,10,99.66,
,0,2.35,10,99.7,
,0,2.25,10,99.71,
,0,2.15,10,99.78,
,0,2.05,10,99.89,
,0,1.95,10,100.04,
,0,1.85,10,100.16,
,0,1.75,10,100.22,
,0,1.65,10,100.19,
,0,1.55,10,100.2,
,0,1.45,10,100.28,
,0,1.35,10,100.39,
,0,1.25,10,100.44,
,0,1.15,10,100.3,
,0,1.05,10,100.38,
,0,0.95,10,100.44,
,0,0.85,10,100.43,
,0,0.75,10,100.35,
,0,0.65,10,100.24,
,0,0.55,10,100.17,
,0,0.45,10,100.19,
,0,0.35,10,100.21,
,0,0.25,10,100.18,
,0,0.15,10,100.1,
,0,0.05,10,99.99,
,0,-0.05,10,100.03,
,0,-0.15,10,100.05,
,0,-0.25,10,100.13,
,0,-0.35,10,100.21,
,0,-0.45,10,100.32,
,0,-0.55,10,100.46,
,0,-0.65,10,100.61,
,0,-0.75,10,100.72,
,0,-0.85,10,100.8,
,0,-0.95,10,100.86,
,0,-1.05,10,100.94,
,0,-1.15,10,101.08,
,0,-1.25,10,101.14,
,0,-1.35,10,101.11,
,0,-1.45,10,101.07,
,0,-1.55,10,101,
,0,-1.65,10,100.86,
,0,-1.75,10,100.64,
,0,-1.85,10,100.57,
,0,-1.95,10,100.51,
,0,-2.05,10,100.41,
,0,-2.15,10,100.26,
,0,-2.25,10,100.09,
,0,-2.35,10,99.97,
,0,-2.45,10,99.82,
,0,-2.55,10,99.6,
,0,-2.65,10,99.4,
,0,-2.75,10,99.21,
,0,-2.85,10,99.06,
,0,-2.95,10,98.93,
,0,-3.05,10,98.79,
,0,-3.15,10,98.6,
,0,-3.25,10,98.41,
,0,-3.35,10,98.19,
,0,-3.45,10,97.93,
,0,-3.55,10,97.64,
,0,-3.65,10,97.41,
,0,-3.75,10,97.04,
,0,-3.85,10,96.57,
,0,-3.95,10,96.01,
,0,-4.05,10,95.31,
,0,-4.15,10,94.42,
,0,-4.25,10,93.01,
,0,-4.35,10,91.19,
,0,-4.45,10,88.8,
,0,-4.55,10,85.63,
,0,-4.65,10,81.36,
,0,-4.75,10,75.64,
,0,-4.85,10,66.57,
,0,-4.95,10,56.92,
,0,-5.05,10,47.17,
,0,-5.15,10,37.8,
,0,-5.25,10,29.42,
