ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
"Color [A=255, R=255, G=0, B=255]",Inline,Photons,15,Water,"5, 5"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,-6.3,5,0.92,
,0,-6.2,5,0.8,
,0,-6.1,5,0.75,
,0,-6,5,0.74,
,0,-5.9,5,0.76,
,0,-5.8,5,0.79,
,0,-5.7,5,0.83,
,0,-5.6,5,0.85,
,0,-5.5,5,0.87,
,0,-5.4,5,0.95,
,0,-5.3,5,1.01,
,0,-5.2,5,1.06,
,0,-5.1,5,1.08,
,0,-5,5,1.07,
,0,-4.9,5,1.15,
,0,-4.8,5,1.25,
,0,-4.7,5,1.35,
,0,-4.6,5,1.44,
,0,-4.5,5,1.53,
,0,-4.4,5,1.64,
,0,-4.3,5,1.77,
,0,-4.2,5,1.94,
,0,-4.1,5,2.13,
,0,-4,5,2.35,
,0,-3.9,5,2.63,
,0,-3.8,5,2.95,
,0,-3.7,5,3.31,
,0,-3.6,5,3.79,
,0,-3.5,5,4.36,
,0,-3.4,5,5.04,
,0,-3.3,5,5.86,
,0,-3.2,5,6.86,
,0,-3.1,5,8.39,
,0,-3,5,10.45,
,0,-2.9,5,13.26,
,0,-2.8,5,17.04,
,0,-2.7,5,22.12,
,0,-2.6,5,28.97,
,0,-2.5,5,38.45,
,0,-2.4,5,48.39,
,0,-2.3,5,58.32,
,0,-2.2,5,67.89,
,0,-2.1,5,76.68,
,0,-2,5,84.28,
,0,-1.9,5,88.27,
,0,-1.8,5,91.29,
,0,-1.7,5,93.7,
,0,-1.6,5,95.62,
,0,-1.5,5,97.18,
,0,-1.4,5,98.52,
,0,-1.3,5,99.1,
,0,-1.2,5,99.52,
,0,-1.1,5,99.81,
,0,-1,5,100.03,
,0,-0.9,5,100.17,
,0,-0.8,5,100.19,
,0,-0.7,5,99.99,
,0,-0.6,5,100.07,
,0,-0.5,5,100.13,
,0,-0.4,5,100.08,
,0,-0.3,5,99.98,
,0,-0.2,5,99.92,
,0,-0.1,5,100.03,
,0,0,5,100.01,
,0,0.1,5,99.98,
,0,0.2,5,99.95,
,0,0.3,5,99.87,
,0,0.4,5,99.74,
,0,0.5,5,100.05,
,0,0.6,5,100.04,
,0,0.7,5,99.85,
,0,0.8,5,99.66,
,0,0.9,5,99.57,
,0,1,5,99.48,
,0,1.1,5,99.11,
,0,1.2,5,98.71,
,0,1.3,5,98.18,
,0,1.4,5,97.5,
,0,1.5,5,96.7,
,0,1.6,5,95.63,
,0,1.7,5,93.88,
,0,1.8,5,91.53,
,0,1.9,5,88.24,
,0,2,5,83.62,
,0,2.1,5,77.2,
,0,2.2,5,68.43,
,0,2.3,5,58.02,
,0,2.4,5,47.66,
,0,2.5,5,37.77,
,0,2.6,5,28.77,
,0,2.7,5,21.18,
,0,2.8,5,15.92,
,0,2.9,5,12.79,
,0,3,5,10.39,
,0,3.1,5,8.51,
,0,3.2,5,7,
,0,3.3,5,5.79,
,0,3.4,5,4.95,
,0,3.5,5,4.3,
,0,3.6,5,3.76,
,0,3.7,5,3.28,
,0,3.8,5,2.89,
,0,3.9,5,2.59,
,0,4,5,2.32,
,0,4.1,5,2.13,
,0,4.2,5,1.95,
,0,4.3,5,1.78,
,0,4.4,5,1.65,
,0,4.5,5,1.54,
,0,4.6,5,1.43,
,0,4.7,5,1.34,
,0,4.8,5,1.26,
,0,4.9,5,1.21,
,0,5,5,1.17,
,0,5.1,5,1.12,
,0,5.2,5,1.01,
,0,5.3,5,0.98,
,0,5.4,5,0.95,
,0,5.5,5,0.91,
,0,5.6,5,0.85,
,0,5.7,5,0.8,
,0,5.8,5,0.83,
,0,5.9,5,0.79,
,0,6,5,0.75,
,0,6.1,5,0.73,
,0,6.2,5,0.74,
,0,6.3,5,0.74,
,0,6.4,5,0.68,
"Color [A=255, R=255, G=69, B=0]",Crossline,Photons,15,Water,"5, 5"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,6.33,0,5,1.29,
,6.23,0,5,1.09,
,6.13,0,5,0.99,
,6.03,0,5,0.98,
,5.93,0,5,1.03,
,5.83,0,5,1.09,
,5.73,0,5,1.12,
,5.63,0,5,1.14,
,5.53,0,5,1.18,
,5.43,0,5,1.23,
,5.33,0,5,1.3,
,5.23,0,5,1.37,
,5.13,0,5,1.42,
,5.03,0,5,1.44,
,4.93,0,5,1.56,
,4.83,0,5,1.62,
,4.73,0,5,1.7,
,4.63,0,5,1.81,
,4.53,0,5,1.93,
,4.43,0,5,2.04,
,4.33,0,5,2.2,
,4.23,0,5,2.34,
,4.13,0,5,2.5,
,4.03,0,5,2.71,
,3.93,0,5,2.94,
,3.83,0,5,3.21,
,3.73,0,5,3.55,
,3.63,0,5,4,
,3.53,0,5,4.53,
,3.43,0,5,5.15,
,3.33,0,5,5.87,
,3.23,0,5,6.73,
,3.13,0,5,7.9,
,3.03,0,5,9.57,
,2.93,0,5,11.74,
,2.83,0,5,14.6,
,2.73,0,5,18.36,
,2.63,0,5,23.08,
,2.53,0,5,30.51,
,2.43,0,5,39.72,
,2.33,0,5,49.63,
,2.23,0,5,59.76,
,2.13,0,5,69.53,
,2.03,0,5,78.33,
,1.93,0,5,84,
,1.83,0,5,88.11,
,1.73,0,5,91.14,
,1.63,0,5,93.33,
,1.53,0,5,94.94,
,1.43,0,5,96.26,
,1.33,0,5,97.06,
,1.23,0,5,97.78,
,1.13,0,5,98.39,
,1.03,0,5,98.84,
,0.93,0,5,99.11,
,0.83,0,5,99.27,
,0.73,0,5,99.71,
,0.63,0,5,99.84,
,0.53,0,5,99.88,
,0.43,0,5,99.91,
,0.33,0,5,99.97,
,0.23,0,5,100.21,
,0.13,0,5,100.09,
,0.03,0,5,100.03,
,-0.07,0,5,100.01,
,-0.17,0,5,100.02,
,-0.27,0,5,99.99,
,-0.37,0,5,99.65,
,-0.47,0,5,99.81,
,-0.57,0,5,99.82,
,-0.67,0,5,99.75,
,-0.77,0,5,99.62,
,-0.87,0,5,99.41,
,-0.97,0,5,99.17,
,-1.07,0,5,98.83,
,-1.17,0,5,98.41,
,-1.27,0,5,97.81,
,-1.37,0,5,96.96,
,-1.47,0,5,95.87,
,-1.57,0,5,94.64,
,-1.67,0,5,92.96,
,-1.77,0,5,90.34,
,-1.87,0,5,86.63,
,-1.97,0,5,81.67,
,-2.07,0,5,75.33,
,-2.17,0,5,66.88,
,-2.27,0,5,56.27,
,-2.37,0,5,45.93,
,-2.47,0,5,36.35,
,-2.57,0,5,27.8,
,-2.67,0,5,20.65,
,-2.77,0,5,15.43,
,-2.87,0,5,12.66,
,-2.97,0,5,10.51,
,-3.07,0,5,8.78,
,-3.17,0,5,7.4,
,-3.27,0,5,6.26,
,-3.37,0,5,5.37,
,-3.47,0,5,4.77,
,-3.57,0,5,4.25,
,-3.67,0,5,3.81,
,-3.77,0,5,3.45,
,-3.87,0,5,3.16,
,-3.97,0,5,2.84,
,-4.07,0,5,2.64,
,-4.17,0,5,2.44,
,-4.27,0,5,2.25,
,-4.37,0,5,2.1,
,-4.47,0,5,1.97,
,-4.57,0,5,1.88,
,-4.67,0,5,1.78,
,-4.77,0,5,1.7,
,-4.87,0,5,1.62,
,-4.97,0,5,1.55,
,-5.07,0,5,1.45,
,-5.17,0,5,1.35,
,-5.27,0,5,1.33,
,-5.37,0,5,1.29,
,-5.47,0,5,1.24,
,-5.57,0,5,1.18,
,-5.67,0,5,1.13,
,-5.77,0,5,1.07,
,-5.87,0,5,1.06,
,-5.97,0,5,1.03,
,-6.07,0,5,0.99,
,-6.17,0,5,0.99,
,-6.27,0,5,1.03,
,-6.37,0,5,0.92,
