ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
"Color [A=255, R=255, G=0, B=255]",Inline,Photons,15,Water,"5, 5"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,6.39,2.6,0.22,
,0,6.29,2.6,0.53,
,0,6.19,2.6,0.69,
,0,6.09,2.6,0.71,
,0,5.99,2.6,0.76,
,0,5.89,2.6,0.79,
,0,5.79,2.6,0.81,
,0,5.69,2.6,0.82,
,0,5.59,2.6,0.89,
,0,5.49,2.6,0.91,
,0,5.39,2.6,0.94,
,0,5.29,2.6,0.98,
,0,5.19,2.6,1.02,
,0,5.09,2.6,1.06,
,0,4.99,2.6,1.11,
,0,4.89,2.6,1.18,
,0,4.79,2.6,1.24,
,0,4.69,2.6,1.29,
,0,4.59,2.6,1.34,
,0,4.49,2.6,1.41,
,0,4.39,2.6,1.52,
,0,4.29,2.6,1.63,
,0,4.19,2.6,1.75,
,0,4.09,2.6,1.88,
,0,3.99,2.6,2.03,
,0,3.89,2.6,2.21,
,0,3.79,2.6,2.5,
,0,3.69,2.6,2.76,
,0,3.59,2.6,3.09,
,0,3.49,2.6,3.52,
,0,3.39,2.6,4.05,
,0,3.29,2.6,4.67,
,0,3.19,2.6,5.52,
,0,3.09,2.6,6.77,
,0,2.99,2.6,8.4,
,0,2.89,2.6,10.52,
,0,2.79,2.6,13.29,
,0,2.69,2.6,17.02,
,0,2.59,2.6,23.38,
,0,2.49,2.6,32.3,
,0,2.39,2.6,42.47,
,0,2.29,2.6,53.32,
,0,2.19,2.6,64.32,
,0,2.09,2.6,74.78,
,0,1.99,2.6,82.87,
,0,1.89,2.6,87.94,
,0,1.79,2.6,91.48,
,0,1.69,2.6,93.97,
,0,1.59,2.6,95.7,
,0,1.49,2.6,96.96,
,0,1.39,2.6,97.75,
,0,1.29,2.6,98.43,
,0,1.19,2.6,98.95,
,0,1.09,2.6,99.31,
,0,0.99,2.6,99.53,
,0,0.89,2.6,99.67,
,0,0.79,2.6,99.75,
,0,0.69,2.6,99.91,
,0,0.59,2.6,99.96,
,0,0.49,2.6,99.95,
,0,0.39,2.6,99.94,
,0,0.29,2.6,99.95,
,0,0.19,2.6,99.89,
,0,0.09,2.6,99.96,
,0,-0.01,2.6,99.95,
,0,-0.11,2.6,99.88,
,0,-0.21,2.6,99.82,
,0,-0.31,2.6,99.89,
,0,-0.41,2.6,100.06,
,0,-0.51,2.6,100.13,
,0,-0.61,2.6,100.24,
,0,-0.71,2.6,100.37,
,0,-0.81,2.6,100.43,
,0,-0.91,2.6,100.29,
,0,-1.01,2.6,100.35,
,0,-1.11,2.6,100.15,
,0,-1.21,2.6,99.76,
,0,-1.31,2.6,99.2,
,0,-1.41,2.6,98.45,
,0,-1.51,2.6,97.43,
,0,-1.61,2.6,95.71,
,0,-1.71,2.6,93.32,
,0,-1.81,2.6,90,
,0,-1.91,2.6,85.46,
,0,-2.01,2.6,79.33,
,0,-2.11,2.6,71.23,
,0,-2.21,2.6,60.91,
,0,-2.31,2.6,50.41,
,0,-2.41,2.6,40.23,
,0,-2.51,2.6,30.75,
,0,-2.61,2.6,22.42,
,0,-2.71,2.6,15.7,
,0,-2.81,2.6,12.46,
,0,-2.91,2.6,9.96,
,0,-3.01,2.6,8.02,
,0,-3.11,2.6,6.51,
,0,-3.21,2.6,5.36,
,0,-3.31,2.6,4.45,
,0,-3.41,2.6,3.86,
,0,-3.51,2.6,3.41,
,0,-3.61,2.6,3.02,
,0,-3.71,2.6,2.68,
,0,-3.81,2.6,2.39,
,0,-3.91,2.6,2.13,
,0,-4.01,2.6,1.98,
,0,-4.11,2.6,1.85,
,0,-4.21,2.6,1.73,
,0,-4.31,2.6,1.61,
,0,-4.41,2.6,1.48,
,0,-4.51,2.6,1.39,
,0,-4.61,2.6,1.32,
,0,-4.71,2.6,1.24,
,0,-4.81,2.6,1.19,
,0,-4.91,2.6,1.15,
,0,-5.01,2.6,1.12,
,0,-5.11,2.6,1.08,
,0,-5.21,2.6,1,
,0,-5.31,2.6,0.95,
,0,-5.41,2.6,0.91,
,0,-5.51,2.6,0.86,
,0,-5.61,2.6,0.82,
,0,-5.71,2.6,0.83,
,0,-5.81,2.6,0.79,
,0,-5.91,2.6,0.76,
,0,-6.01,2.6,0.75,
,0,-6.11,2.6,0.72,
,0,-6.21,2.6,0.66,
"Color [A=255, R=255, G=69, B=0]",Crossline,Photons,15,Water,"5, 5"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,6.27,0,2.6,0.13,
,6.17,0,2.6,0.71,
,6.07,0,2.6,0.99,
,5.97,0,2.6,1.1,
,5.87,0,2.6,1.16,
,5.77,0,2.6,1.2,
,5.67,0,2.6,1.23,
,5.57,0,2.6,1.25,
,5.47,0,2.6,1.32,
,5.37,0,2.6,1.38,
,5.27,0,2.6,1.43,
,5.17,0,2.6,1.49,
,5.07,0,2.6,1.54,
,4.97,0,2.6,1.62,
,4.87,0,2.6,1.67,
,4.77,0,2.6,1.74,
,4.67,0,2.6,1.81,
,4.57,0,2.6,1.92,
,4.47,0,2.6,2.04,
,4.37,0,2.6,2.15,
,4.27,0,2.6,2.23,
,4.17,0,2.6,2.36,
,4.07,0,2.6,2.51,
,3.97,0,2.6,2.68,
,3.87,0,2.6,2.87,
,3.77,0,2.6,3.09,
,3.67,0,2.6,3.35,
,3.57,0,2.6,3.75,
,3.47,0,2.6,4.21,
,3.37,0,2.6,4.74,
,3.27,0,2.6,5.36,
,3.17,0,2.6,6.12,
,3.07,0,2.6,7.12,
,2.97,0,2.6,8.71,
,2.87,0,2.6,10.79,
,2.77,0,2.6,13.59,
,2.67,0,2.6,17.36,
,2.57,0,2.6,22.52,
,2.47,0,2.6,29.96,
,2.37,0,2.6,39.72,
,2.27,0,2.6,50.27,
,2.17,0,2.6,60.93,
,2.07,0,2.6,71.02,
,1.97,0,2.6,79.78,
,1.87,0,2.6,85.83,
,1.77,0,2.6,89.88,
,1.67,0,2.6,92.74,
,1.57,0,2.6,94.85,
,1.47,0,2.6,96.31,
,1.37,0,2.6,97.29,
,1.27,0,2.6,98.08,
,1.17,0,2.6,98.58,
,1.07,0,2.6,98.96,
,0.97,0,2.6,99.23,
,0.87,0,2.6,99.47,
,0.77,0,2.6,99.75,
,0.67,0,2.6,99.95,
,0.57,0,2.6,100.01,
,0.47,0,2.6,99.96,
,0.37,0,2.6,99.89,
,0.27,0,2.6,99.88,
,0.17,0,2.6,99.94,
,0.07,0,2.6,100.08,
,-0.03,0,2.6,99.96,
,-0.13,0,2.6,99.92,
,-0.23,0,2.6,99.95,
,-0.33,0,2.6,99.92,
,-0.43,0,2.6,99.66,
,-0.53,0,2.6,99.81,
,-0.63,0,2.6,99.8,
,-0.73,0,2.6,99.73,
,-0.83,0,2.6,99.61,
,-0.93,0,2.6,99.44,
,-1.03,0,2.6,99.21,
,-1.13,0,2.6,98.95,
,-1.23,0,2.6,98.39,
,-1.33,0,2.6,97.64,
,-1.43,0,2.6,96.71,
,-1.53,0,2.6,95.6,
,-1.63,0,2.6,94.3,
,-1.73,0,2.6,91.53,
,-1.83,0,2.6,87.38,
,-1.93,0,2.6,81.37,
,-2.03,0,2.6,73.81,
,-2.13,0,2.6,64.63,
,-2.23,0,2.6,54.22,
,-2.33,0,2.6,43.03,
,-2.43,0,2.6,33.66,
,-2.53,0,2.6,25.62,
,-2.63,0,2.6,19.09,
,-2.73,0,2.6,14.05,
,-2.83,0,2.6,10.79,
,-2.93,0,2.6,9,
,-3.03,0,2.6,7.56,
,-3.13,0,2.6,6.39,
,-3.23,0,2.6,5.45,
,-3.33,0,2.6,4.7,
,-3.43,0,2.6,4.23,
,-3.53,0,2.6,3.82,
,-3.63,0,2.6,3.49,
,-3.73,0,2.6,3.22,
,-3.83,0,2.6,2.96,
,-3.93,0,2.6,2.7,
,-4.03,0,2.6,2.51,
,-4.13,0,2.6,2.39,
,-4.23,0,2.6,2.27,
,-4.33,0,2.6,2.15,
,-4.43,0,2.6,2.04,
,-4.53,0,2.6,1.95,
,-4.63,0,2.6,1.85,
,-4.73,0,2.6,1.77,
,-4.83,0,2.6,1.7,
,-4.93,0,2.6,1.64,
,-5.03,0,2.6,1.56,
,-5.13,0,2.6,1.49,
,-5.23,0,2.6,1.45,
,-5.33,0,2.6,1.4,
,-5.43,0,2.6,1.35,
,-5.53,0,2.6,1.31,
,-5.63,0,2.6,1.26,
,-5.73,0,2.6,1.23,
,-5.83,0,2.6,1.2,
,-5.93,0,2.6,1.14,
,-6.03,0,2.6,1.1,
,-6.13,0,2.6,1.07,
,-6.23,0,2.6,1.03,
,-6.33,0,2.6,0.98,
