ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
"Color [A=255, R=255, G=0, B=255]",Inline,Photons,15,Water,"30, 30"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,17.96,2.6,2.49,
,0,17.86,2.6,3.4,
,0,17.76,2.6,3.66,
,0,17.66,2.6,3.83,
,0,17.56,2.6,3.94,
,0,17.46,2.6,4.05,
,0,17.36,2.6,4.14,
,0,17.26,2.6,4.29,
,0,17.16,2.6,4.41,
,0,17.06,2.6,4.53,
,0,16.96,2.6,4.66,
,0,16.86,2.6,4.8,
,0,16.76,2.6,4.94,
,0,16.66,2.6,5.12,
,0,16.56,2.6,5.26,
,0,16.46,2.6,5.41,
,0,16.36,2.6,5.58,
,0,16.26,2.6,5.79,
,0,16.16,2.6,6,
,0,16.06,2.6,6.17,
,0,15.96,2.6,6.42,
,0,15.86,2.6,6.67,
,0,15.76,2.6,6.91,
,0,15.66,2.6,7.15,
,0,15.56,2.6,7.4,
,0,15.46,2.6,7.82,
,0,15.36,2.6,8.14,
,0,15.26,2.6,8.54,
,0,15.16,2.6,9.01,
,0,15.06,2.6,9.53,
,0,14.96,2.6,10.11,
,0,14.86,2.6,10.77,
,0,14.76,2.6,11.67,
,0,14.66,2.6,12.77,
,0,14.56,2.6,14.15,
,0,14.46,2.6,15.86,
,0,14.36,2.6,18.03,
,0,14.26,2.6,22.13,
,0,14.16,2.6,28.99,
,0,14.06,2.6,37.5,
,0,13.96,2.6,47.28,
,0,13.86,2.6,57.93,
,0,13.76,2.6,69,
,0,13.66,2.6,78.61,
,0,13.56,2.6,85.89,
,0,13.46,2.6,91.19,
,0,13.36,2.6,94.88,
,0,13.26,2.6,97.37,
,0,13.16,2.6,99.08,
,0,13.06,2.6,99.84,
,0,12.96,2.6,100.48,
,0,12.86,2.6,101,
,0,12.76,2.6,101.41,
,0,12.66,2.6,101.71,
,0,12.56,2.6,101.84,
,0,12.46,2.6,101.97,
,0,12.36,2.6,102.11,
,0,12.26,2.6,102.24,
,0,12.16,2.6,102.35,
,0,12.06,2.6,102.42,
,0,11.96,2.6,102.44,
,0,11.86,2.6,102.57,
,0,11.76,2.6,102.71,
,0,11.66,2.6,102.8,
,0,11.56,2.6,102.82,
,0,11.46,2.6,102.81,
,0,11.36,2.6,102.69,
,0,11.26,2.6,102.9,
,0,11.16,2.6,103.03,
,0,11.06,2.6,103.12,
,0,10.96,2.6,103.15,
,0,10.86,2.6,103.08,
,0,10.76,2.6,103.21,
,0,10.66,2.6,103.17,
,0,10.56,2.6,103.17,
,0,10.46,2.6,103.23,
,0,10.36,2.6,103.28,
,0,10.26,2.6,103.31,
,0,10.16,2.6,103.38,
,0,10.06,2.6,103.44,
,0,9.96,2.6,103.45,
,0,9.86,2.6,103.45,
,0,9.76,2.6,103.48,
,0,9.66,2.6,103.48,
,0,9.56,2.6,103.5,
,0,9.46,2.6,103.42,
,0,9.36,2.6,103.35,
,0,9.26,2.6,103.32,
,0,9.16,2.6,103.33,
,0,9.06,2.6,103.34,
,0,8.96,2.6,103.26,
,0,8.86,2.6,103.3,
,0,8.76,2.6,103.28,
,0,8.66,2.6,103.22,
,0,8.56,2.6,103.18,
,0,8.46,2.6,103.21,
,0,8.36,2.6,103.21,
,0,8.26,2.6,103.21,
,0,8.16,2.6,103.19,
,0,8.06,2.6,103.17,
,0,7.96,2.6,103.16,
,0,7.86,2.6,103.06,
,0,7.76,2.6,103.19,
,0,7.66,2.6,103.18,
,0,7.56,2.6,103.08,
,0,7.46,2.6,102.98,
,0,7.36,2.6,102.9,
,0,7.26,2.6,102.77,
,0,7.16,2.6,102.97,
,0,7.06,2.6,102.92,
,0,6.96,2.6,102.86,
,0,6.86,2.6,102.86,
,0,6.76,2.6,102.92,
,0,6.66,2.6,102.98,
,0,6.56,2.6,102.98,
,0,6.46,2.6,102.93,
,0,6.36,2.6,102.92,
,0,6.26,2.6,102.9,
,0,6.16,2.6,102.82,
,0,6.06,2.6,102.74,
,0,5.96,2.6,102.9,
,0,5.86,2.6,102.9,
,0,5.76,2.6,102.85,
,0,5.66,2.6,102.79,
,0,5.56,2.6,102.78,
,0,5.46,2.6,102.99,
,0,5.36,2.6,102.89,
,0,5.26,2.6,102.8,
