ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
"Color [A=255, R=255, G=0, B=255]",Depth Dose,Photons,15,Water,"30, 30"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,0,31,32.77,
,0,0,30.9,32.63,
,0,0,30.8,32.68,
,0,0,30.7,32.82,
,0,0,30.6,32.96,
,0,0,30.5,33.12,
,0,0,30.4,33.29,
,0,0,30.3,33.33,
,0,0,30.2,33.41,
,0,0,30.1,33.62,
,0,0,30,33.8,
,0,0,29.9,33.92,
,0,0,29.8,33.99,
,0,0,29.7,34.15,
,0,0,29.6,34.31,
,0,0,29.5,34.43,
,0,0,29.4,34.54,
,0,0,29.3,34.66,
,0,0,29.2,34.84,
,0,0,29.1,35.14,
,0,0,29,35.04,
,0,0,28.9,35.22,
,0,0,28.8,35.43,
,0,0,28.7,35.61,
,0,0,28.6,35.73,
,0,0,28.5,35.73,
,0,0,28.4,35.84,
,0,0,28.3,36.05,
,0,0,28.2,36.25,
,0,0,28.1,36.4,
,0,0,28,36.54,
,0,0,27.9,36.68,
,0,0,27.8,36.82,
,0,0,27.7,36.95,
,0,0,27.6,37.11,
,0,0,27.5,37.29,
,0,0,27.4,37.44,
,0,0,27.3,37.56,
,0,0,27.2,37.66,
,0,0,27.1,37.85,
,0,0,27,38.04,
,0,0,26.9,38.2,
,0,0,26.8,38.38,
,0,0,26.7,38.56,
,0,0,26.6,38.77,
,0,0,26.5,38.9,
,0,0,26.4,39.01,
,0,0,26.3,39.14,
,0,0,26.2,39.29,
,0,0,26.1,39.61,
,0,0,26,39.64,
,0,0,25.9,39.8,
,0,0,25.8,39.97,
,0,0,25.7,40.1,
,0,0,25.6,40.21,
,0,0,25.5,40.31,
,0,0,25.4,40.65,
,0,0,25.3,40.84,
,0,0,25.2,40.98,
,0,0,25.1,41.13,
,0,0,25,41.32,
,0,0,24.9,41.55,
,0,0,24.8,41.63,
,0,0,24.7,41.76,
,0,0,24.6,41.97,
,0,0,24.5,42.16,
,0,0,24.4,42.28,
,0,0,24.3,42.5,
,0,0,24.2,42.66,
,0,0,24.1,42.81,
,0,0,24,42.97,
,0,0,23.9,43.14,
,0,0,23.8,43.31,
,0,0,23.7,43.61,
,0,0,23.6,43.68,
,0,0,23.5,43.86,
,0,0,23.4,44.03,
,0,0,23.3,44.18,
,0,0,23.2,44.44,
,0,0,23.1,44.69,
,0,0,23,44.74,
,0,0,22.9,44.91,
,0,0,22.8,45.14,
,0,0,22.7,45.34,
,0,0,22.6,45.44,
,0,0,22.5,45.67,
,0,0,22.4,45.92,
,0,0,22.3,46.15,
,0,0,22.2,46.33,
,0,0,22.1,46.45,
,0,0,22,46.56,
,0,0,21.9,46.81,
,0,0,21.8,47.01,
,0,0,21.7,47.17,
,0,0,21.6,47.37,
,0,0,21.5,47.62,
,0,0,21.4,47.9,
,0,0,21.3,48,
,0,0,21.2,48.19,
,0,0,21.1,48.41,
,0,0,21,48.62,
,0,0,20.9,48.77,
,0,0,20.8,48.83,
,0,0,20.7,49.29,
,0,0,20.6,49.42,
,0,0,20.5,49.54,
,0,0,20.4,49.71,
,0,0,20.3,49.95,
,0,0,20.2,50.32,
,0,0,20.1,50.36,
,0,0,20,50.57,
,0,0,19.9,50.8,
,0,0,19.8,51.02,
,0,0,19.7,51.22,
,0,0,19.6,51.34,
,0,0,19.5,51.68,
,0,0,19.4,51.84,
,0,0,19.3,52.04,
,0,0,19.2,52.27,
,0,0,19.1,52.49,
,0,0,19,52.73,
,0,0,18.9,52.91,
,0,0,18.8,53.11,
,0,0,18.7,53.35,
,0,0,18.6,53.59,
,0,0,18.5,53.81,
,0,0,18.4,54.02,
,0,0,18.3,54.22,
,0,0,18.2,54.41,
,0,0,18.1,54.62,
,0,0,18,54.88,
,0,0,17.9,55.14,
,0,0,17.8,55.26,
,0,0,17.7,55.59,
,0,0,17.6,55.8,
,0,0,17.5,56.05,
,0,0,17.4,56.3,
,0,0,17.3,56.5,
,0,0,17.2,56.73,
,0,0,17.1,56.94,
,0,0,17,57.11,
,0,0,16.9,57.36,
,0,0,16.8,57.64,
,0,0,16.7,57.86,
,0,0,16.6,58.16,
,0,0,16.5,58.29,
,0,0,16.4,58.58,
,0,0,16.3,58.85,
,0,0,16.2,59.06,
,0,0,16.1,59.24,
,0,0,16,59.51,
,0,0,15.9,59.79,
,0,0,15.8,60.03,
,0,0,15.7,60.29,
,0,0,15.6,60.54,
,0,0,15.5,60.72,
,0,0,15.4,60.93,
,0,0,15.3,61.25,
,0,0,15.2,61.49,
,0,0,15.1,61.72,
,0,0,15,61.94,
,0,0,14.9,62.15,
,0,0,14.8,62.4,
,0,0,14.7,62.74,
,0,0,14.6,62.98,
,0,0,14.5,63.2,
,0,0,14.4,63.44,
,0,0,14.3,63.74,
,0,0,14.2,64.19,
,0,0,14.1,64.3,
,0,0,14,64.56,
,0,0,13.9,64.82,
,0,0,13.8,65.07,
,0,0,13.7,65.33,
,0,0,13.6,65.58,
,0,0,13.5,65.91,
,0,0,13.4,66.23,
,0,0,13.3,66.49,
,0,0,13.2,66.68,
,0,0,13.1,66.86,
,0,0,13,67.25,
,0,0,12.9,67.49,
,0,0,12.8,67.71,
,0,0,12.7,67.99,
,0,0,12.6,68.31,
,0,0,12.5,68.59,
,0,0,12.4,68.78,
,0,0,12.3,69.13,
,0,0,12.2,69.43,
,0,0,12.1,69.69,
,0,0,12,69.95,
,0,0,11.9,70.22,
,0,0,11.8,70.43,
,0,0,11.7,70.77,
,0,0,11.6,71.12,
,0,0,11.5,71.37,
,0,0,11.4,71.6,
,0,0,11.3,71.92,
,0,0,11.2,72.15,
,0,0,11.1,72.54,
,0,0,11,72.9,
,0,0,10.9,73.18,
,0,0,10.8,73.4,
,0,0,10.7,73.63,
,0,0,10.6,73.99,
,0,0,10.5,74.34,
,0,0,10.4,74.65,
,0,0,10.3,74.91,
,0,0,10.2,75.15,
,0,0,10.1,75.42,
,0,0,10,75.85,
,0,0,9.9,76.11,
,0,0,9.8,76.43,
,0,0,9.7,76.71,
,0,0,9.6,76.94,
,0,0,9.5,77.25,
,0,0,9.4,77.69,
,0,0,9.3,77.91,
,0,0,9.2,78.16,
,0,0,9.1,78.49,
,0,0,9,78.85,
,0,0,8.9,79.11,
,0,0,8.8,79.56,
,0,0,8.7,79.79,
,0,0,8.6,80.02,
,0,0,8.5,80.31,
,0,0,8.4,80.64,
,0,0,8.3,80.98,
,0,0,8.2,81.29,
,0,0,8.1,81.71,
,0,0,8,82.08,
,0,0,7.9,82.41,
,0,0,7.8,82.73,
,0,0,7.7,83.07,
,0,0,7.6,83.37,
,0,0,7.5,83.61,
,0,0,7.39,83.93,
,0,0,7.29,84.29,
,0,0,7.19,84.61,
,0,0,7.09,84.87,
,0,0,6.99,85.17,
,0,0,6.89,85.49,
,0,0,6.79,85.78,
,0,0,6.69,86.12,
,0,0,6.59,86.53,
,0,0,6.49,86.84,
,0,0,6.39,87.18,
,0,0,6.29,87.55,
,0,0,6.19,87.91,
,0,0,6.09,88.24,
,0,0,5.99,88.54,
,0,0,5.89,88.86,
,0,0,5.79,89.23,
,0,0,5.69,89.62,
,0,0,5.59,89.95,
,0,0,5.49,90.28,
,0,0,5.39,90.64,
,0,0,5.29,90.93,
,0,0,5.19,91.36,
,0,0,5.09,91.67,
,0,0,4.99,91.97,
,0,0,4.89,92.33,
,0,0,4.79,92.76,
,0,0,4.69,93.09,
,0,0,4.59,93.39,
,0,0,4.49,93.68,
,0,0,4.39,94.03,
,0,0,4.29,94.44,
,0,0,4.19,94.85,
,0,0,4.09,95.2,
,0,0,3.99,95.45,
,0,0,3.88,95.78,
,0,0,3.78,96.13,
,0,0,3.68,96.47,
,0,0,3.58,96.82,
,0,0,3.48,97.12,
,0,0,3.38,97.47,
,0,0,3.28,97.75,
,0,0,3.18,98.03,
,0,0,3.08,98.35,
,0,0,2.98,98.65,
,0,0,2.88,98.8,
,0,0,2.78,99.01,
,0,0,2.68,99.3,
,0,0,2.58,99.55,
,0,0,2.48,99.69,
,0,0,2.38,99.77,
,0,0,2.28,99.99,
,0,0,2.18,99.96,
,0,0,2.08,99.9,
,0,0,1.98,99.89,
,0,0,1.88,99.82,
,0,0,1.78,99.57,
,0,0,1.68,99.29,
,0,0,1.58,98.93,
,0,0,1.48,98.46,
,0,0,1.38,97.81,
,0,0,1.28,96.96,
,0,0,1.18,95.91,
,0,0,1.08,94.54,
,0,0,0.98,93.08,
,0,0,0.88,91.2,
,0,0,0.78,88.93,
,0,0,0.68,86.32,
,0,0,0.58,83.31,
,0,0,0.47,79.59,
,0,0,0.37,74.71,
,0,0,0.27,69.51,
,0,0,0.17,64.99,
,0,0,0.07,62.04,
