ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
"Color [A=255, R=255, G=0, B=255]",Inline,Photons,15,Water,"20, 5"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,-6.3,5,2.12,
,0,-6.2,5,1.7,
,0,-6.1,5,1.51,
,0,-6,5,1.54,
,0,-5.9,5,1.59,
,0,-5.8,5,1.65,
,0,-5.7,5,1.7,
,0,-5.6,5,1.74,
,0,-5.5,5,1.75,
,0,-5.4,5,1.85,
,0,-5.3,5,1.93,
,0,-5.2,5,2.01,
,0,-5.1,5,2.11,
,0,-5,5,2.21,
,0,-4.9,5,2.28,
,0,-4.8,5,2.4,
,0,-4.7,5,2.52,
,0,-4.6,5,2.65,
,0,-4.5,5,2.8,
,0,-4.4,5,2.98,
,0,-4.3,5,3.11,
,0,-4.2,5,3.35,
,0,-4.1,5,3.6,
,0,-4,5,3.88,
,0,-3.9,5,4.2,
,0,-3.8,5,4.57,
,0,-3.7,5,4.94,
,0,-3.6,5,5.49,
,0,-3.5,5,6.13,
,0,-3.4,5,6.88,
,0,-3.3,5,7.76,
,0,-3.2,5,8.83,
,0,-3.1,5,10.28,
,0,-3,5,12.38,
,0,-2.9,5,15.17,
,0,-2.8,5,18.86,
,0,-2.7,5,23.78,
,0,-2.6,5,30.21,
,0,-2.5,5,39.46,
,0,-2.4,5,49.22,
,0,-2.3,5,58.96,
,0,-2.2,5,68.3,
,0,-2.1,5,76.84,
,0,-2,5,84.16,
,0,-1.9,5,88.2,
,0,-1.8,5,91.16,
,0,-1.7,5,93.59,
,0,-1.6,5,95.58,
,0,-1.5,5,97.12,
,0,-1.4,5,98.11,
,0,-1.3,5,98.86,
,0,-1.2,5,99.41,
,0,-1.1,5,99.78,
,0,-1,5,100.04,
,0,-0.9,5,100.25,
,0,-0.8,5,100.29,
,0,-0.7,5,100.21,
,0,-0.6,5,100.2,
,0,-0.5,5,100.22,
,0,-0.4,5,100.21,
,0,-0.3,5,100.18,
,0,-0.2,5,100.3,
,0,-0.1,5,99.93,
,0,0,5,100,
,0,0.1,5,100.11,
,0,0.2,5,100.12,
,0,0.3,5,100.05,
,0,0.4,5,100.02,
,0,0.5,5,99.98,
,0,0.6,5,99.93,
,0,0.7,5,99.84,
,0,0.8,5,99.71,
,0,0.9,5,99.64,
,0,1,5,99.75,
,0,1.1,5,99.22,
,0,1.2,5,98.67,
,0,1.3,5,98.11,
,0,1.4,5,97.47,
,0,1.5,5,96.64,
,0,1.6,5,95.51,
,0,1.7,5,93.77,
,0,1.8,5,91.37,
,0,1.9,5,88.14,
,0,2,5,83.78,
,0,2.1,5,77.78,
,0,2.2,5,69.11,
,0,2.3,5,58.9,
,0,2.4,5,48.82,
,0,2.5,5,39.25,
,0,2.6,5,30.51,
,0,2.7,5,23.09,
,0,2.8,5,18.01,
,0,2.9,5,14.87,
,0,3,5,12.46,
,0,3.1,5,10.55,
,0,3.2,5,9.03,
,0,3.3,5,7.78,
,0,3.4,5,6.9,
,0,3.5,5,6.19,
,0,3.6,5,5.58,
,0,3.7,5,5.06,
,0,3.8,5,4.62,
,0,3.9,5,4.26,
,0,4,5,3.9,
,0,4.1,5,3.65,
,0,4.2,5,3.42,
,0,4.3,5,3.22,
,0,4.4,5,3.05,
,0,4.5,5,2.88,
,0,4.6,5,2.69,
,0,4.7,5,2.59,
,0,4.8,5,2.48,
,0,4.9,5,2.38,
,0,5,5,2.28,
,0,5.1,5,2.18,
,0,5.2,5,2.07,
,0,5.3,5,2,
,0,5.4,5,1.95,
,0,5.5,5,1.89,
,0,5.6,5,1.82,
,0,5.7,5,1.75,
,0,5.8,5,1.67,
,0,5.9,5,1.63,
,0,6,5,1.59,
,0,6.1,5,1.53,
,0,6.2,5,1.46,
,0,6.3,5,1.38,
,0,6.4,5,1.43,
"Color [A=255, R=255, G=69, B=0]",Crossline,Photons,15,Water,"20, 5"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,13.35,0,5,1.57,
,13.25,0,5,1.69,
,13.15,0,5,1.77,
,13.05,0,5,1.81,
,12.95,0,5,1.83,
,12.85,0,5,1.85,
,12.75,0,5,1.95,
,12.65,0,5,2.04,
,12.55,0,5,2.13,
,12.45,0,5,2.2,
,12.35,0,5,2.27,
,12.25,0,5,2.35,
,12.15,0,5,2.46,
,12.05,0,5,2.57,
,11.95,0,5,2.67,
,11.85,0,5,2.78,
,11.75,0,5,2.92,
,11.65,0,5,3.06,
,11.55,0,5,3.2,
,11.45,0,5,3.35,
,11.35,0,5,3.54,
,11.25,0,5,3.75,
,11.15,0,5,3.97,
,11.05,0,5,4.17,
,10.95,0,5,4.48,
,10.85,0,5,4.85,
,10.75,0,5,5.26,
,10.65,0,5,5.73,
,10.55,0,5,6.28,
,10.45,0,5,6.99,
,10.35,0,5,7.91,
,10.25,0,5,9.15,
,10.15,0,5,10.68,
,10.05,0,5,12.56,
,9.95,0,5,14.96,
,9.85,0,5,18.41,
,9.75,0,5,24.82,
,9.65,0,5,32.61,
,9.55,0,5,41.36,
,9.45,0,5,50.92,
,9.35,0,5,61.04,
,9.25,0,5,71.3,
,9.15,0,5,79.25,
,9.05,0,5,85.34,
,8.95,0,5,89.8,
,8.85,0,5,92.83,
,8.75,0,5,94.98,
,8.65,0,5,96.74,
,8.55,0,5,97.76,
,8.45,0,5,98.58,
,8.35,0,5,99.28,
,8.25,0,5,99.86,
,8.15,0,5,100.37,
,8.05,0,5,100.64,
,7.95,0,5,100.97,
,7.85,0,5,101.2,
,7.75,0,5,101.31,
,7.65,0,5,101.4,
,7.55,0,5,101.6,
,7.45,0,5,101.63,
,7.35,0,5,101.78,
,7.25,0,5,101.88,
,7.15,0,5,101.94,
,7.05,0,5,102.05,
,6.95,0,5,102.32,
,6.85,0,5,102.23,
,6.75,0,5,102.14,
,6.65,0,5,102.12,
,6.55,0,5,102.21,
,6.45,0,5,102.35,
,6.35,0,5,102.47,
,6.25,0,5,102.34,
,6.15,0,5,102.33,
,6.05,0,5,102.33,
,5.95,0,5,102.28,
,5.85,0,5,102.26,
,5.75,0,5,102.55,
,5.65,0,5,102.37,
,5.55,0,5,102.4,
,5.45,0,5,102.46,
,5.35,0,5,102.55,
,5.25,0,5,102.59,
,5.15,0,5,102.32,
,5.05,0,5,102.52,
,4.95,0,5,102.68,
,4.85,0,5,102.72,
,4.75,0,5,102.64,
,4.65,0,5,102.52,
,4.55,0,5,102.67,
,4.45,0,5,102.59,
,4.35,0,5,102.49,
,4.25,0,5,102.43,
,4.15,0,5,102.36,
,4.05,0,5,102.21,
,3.95,0,5,102.15,
,3.85,0,5,102.12,
,3.75,0,5,101.99,
,3.65,0,5,101.84,
,3.55,0,5,101.71,
,3.45,0,5,101.55,
,3.35,0,5,101.58,
,3.25,0,5,101.37,
,3.15,0,5,101.25,
,3.05,0,5,101.15,
,2.95,0,5,100.99,
,2.85,0,5,100.78,
,2.75,0,5,101.08,
,2.65,0,5,100.77,
,2.55,0,5,100.64,
,2.45,0,5,100.65,
,2.35,0,5,100.64,
,2.25,0,5,100.47,
,2.15,0,5,100.51,
,2.05,0,5,100.51,
,1.95,0,5,100.47,
,1.85,0,5,100.43,
,1.75,0,5,100.38,
,1.65,0,5,100.24,
,1.55,0,5,100.51,
,1.45,0,5,100.52,
,1.35,0,5,100.51,
,1.25,0,5,100.5,
,1.15,0,5,100.47,
,1.05,0,5,100.38,
,0.95,0,5,100.4,
,0.85,0,5,100.34,
,0.75,0,5,100.28,
,0.65,0,5,100.24,
,0.55,0,5,100.21,
,0.45,0,5,100.2,
,0.35,0,5,100.14,
,0.25,0,5,100.08,
,0.15,0,5,100.06,
,0.05,0,5,100.03,
,-0.05,0,5,99.97,
,-0.15,0,5,99.93,
,-0.25,0,5,99.92,
,-0.35,0,5,100.02,
,-0.45,0,5,100.14,
,-0.55,0,5,100.21,
,-0.65,0,5,100.17,
,-0.75,0,5,100.02,
,-0.85,0,5,100.18,
,-0.95,0,5,100.33,
,-1.05,0,5,100.44,
,-1.15,0,5,100.49,
,-1.25,0,5,100.45,
,-1.35,0,5,100.33,
,-1.45,0,5,100.48,
,-1.55,0,5,100.59,
,-1.65,0,5,100.65,
,-1.75,0,5,100.68,
,-1.85,0,5,100.72,
,-1.95,0,5,100.75,
,-2.05,0,5,100.82,
,-2.15,0,5,100.81,
,-2.25,0,5,100.83,
,-2.35,0,5,100.92,
,-2.45,0,5,100.99,
,-2.55,0,5,101.1,
,-2.65,0,5,101,
,-2.75,0,5,101.03,
,-2.85,0,5,101.13,
,-2.95,0,5,101.21,
,-3.05,0,5,101.23,
,-3.15,0,5,101.43,
,-3.25,0,5,101.53,
,-3.35,0,5,101.64,
,-3.45,0,5,101.72,
,-3.55,0,5,101.81,
,-3.65,0,5,101.96,
,-3.75,0,5,101.85,
,-3.85,0,5,101.92,
,-3.95,0,5,102.09,
,-4.05,0,5,102.27,
,-4.15,0,5,102.44,
,-4.25,0,5,102.59,
,-4.35,0,5,102.43,
,-4.45,0,5,102.56,
,-4.55,0,5,102.66,
,-4.65,0,5,102.72,
,-4.75,0,5,102.82,
,-4.85,0,5,103.04,
,-4.95,0,5,102.55,
,-5.05,0,5,102.52,
,-5.15,0,5,102.58,
,-5.25,0,5,102.62,
,-5.35,0,5,102.6,
,-5.45,0,5,102.52,
,-5.55,0,5,102.48,
,-5.65,0,5,102.49,
,-5.75,0,5,102.48,
,-5.85,0,5,102.45,
,-5.95,0,5,102.46,
,-6.05,0,5,102.61,
,-6.15,0,5,102.32,
,-6.25,0,5,102.24,
