ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
"Color [A=255, R=255, G=0, B=255]",Depth Dose,Photons,15,Water,"5, 5"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,0,31,26.06,
,0,0,30.9,26.92,
,0,0,30.8,27.24,
,0,0,30.7,27.42,
,0,0,30.6,27.56,
,0,0,30.5,27.69,
,0,0,30.4,27.8,
,0,0,30.3,27.92,
,0,0,30.2,28.03,
,0,0,30.1,28.18,
,0,0,30,28.3,
,0,0,29.9,28.41,
,0,0,29.8,28.54,
,0,0,29.7,28.74,
,0,0,29.6,28.85,
,0,0,29.5,28.96,
,0,0,29.4,29.1,
,0,0,29.3,29.26,
,0,0,29.2,29.37,
,0,0,29.1,29.32,
,0,0,29,29.64,
,0,0,28.9,29.79,
,0,0,28.8,29.92,
,0,0,28.7,30.06,
,0,0,28.6,30.21,
,0,0,28.5,30.36,
,0,0,28.4,30.4,
,0,0,28.3,30.55,
,0,0,28.2,30.74,
,0,0,28.1,30.91,
,0,0,28,31.01,
,0,0,27.9,31.04,
,0,0,27.8,31.2,
,0,0,27.7,31.4,
,0,0,27.6,31.59,
,0,0,27.5,31.74,
,0,0,27.4,31.88,
,0,0,27.3,32.03,
,0,0,27.2,32.17,
,0,0,27.1,32.3,
,0,0,27,32.44,
,0,0,26.9,32.61,
,0,0,26.8,32.82,
,0,0,26.7,32.89,
,0,0,26.6,33.05,
,0,0,26.5,33.21,
,0,0,26.4,33.35,
,0,0,26.3,33.5,
,0,0,26.2,33.67,
,0,0,26.1,33.81,
,0,0,26,33.96,
,0,0,25.9,34.15,
,0,0,25.8,34.33,
,0,0,25.7,34.46,
,0,0,25.6,34.55,
,0,0,25.5,34.84,
,0,0,25.4,34.98,
,0,0,25.3,35.14,
,0,0,25.2,35.32,
,0,0,25.1,35.49,
,0,0,25,35.67,
,0,0,24.9,35.83,
,0,0,24.8,35.98,
,0,0,24.7,36.14,
,0,0,24.6,36.33,
,0,0,24.5,36.51,
,0,0,24.4,36.63,
,0,0,24.3,36.77,
,0,0,24.2,37,
,0,0,24.1,37.17,
,0,0,24,37.3,
,0,0,23.9,37.45,
,0,0,23.8,37.68,
,0,0,23.7,37.86,
,0,0,23.6,38.08,
,0,0,23.5,38.28,
,0,0,23.4,38.44,
,0,0,23.3,38.58,
,0,0,23.2,38.73,
,0,0,23.1,38.93,
,0,0,23,39.13,
,0,0,22.9,39.34,
,0,0,22.8,39.57,
,0,0,22.7,39.79,
,0,0,22.6,39.96,
,0,0,22.5,40.13,
,0,0,22.4,40.29,
,0,0,22.3,40.45,
,0,0,22.2,40.62,
,0,0,22.1,40.81,
,0,0,22,41.08,
,0,0,21.9,41.2,
,0,0,21.8,41.39,
,0,0,21.7,41.63,
,0,0,21.6,41.87,
,0,0,21.5,42.05,
,0,0,21.4,42.12,
,0,0,21.3,42.42,
,0,0,21.2,42.62,
,0,0,21.1,42.77,
,0,0,21,42.94,
,0,0,20.9,43.15,
,0,0,20.8,43.41,
,0,0,20.7,43.58,
,0,0,20.6,43.78,
,0,0,20.5,44,
,0,0,20.4,44.22,
,0,0,20.3,44.41,
,0,0,20.2,44.56,
,0,0,20.1,44.74,
,0,0,20,44.99,
,0,0,19.9,45.21,
,0,0,19.8,45.42,
,0,0,19.7,45.65,
,0,0,19.6,45.91,
,0,0,19.5,46.12,
