ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
"Color [A=255, R=255, G=0, B=255]",Depth Dose,Photons,15,Water,"7.5, 15"
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,0,31,22.37,
,0,0,30.9,26.97,
,0,0,30.8,28.51,
,0,0,30.7,29,
,0,0,30.6,29.21,
,0,0,30.5,29.35,
,0,0,30.4,29.45,
,0,0,30.3,29.52,
,0,0,30.2,29.75,
,0,0,30.1,29.9,
,0,0,30,30.02,
,0,0,29.9,30.13,
,0,0,29.8,30.23,
,0,0,29.7,30.39,
,0,0,29.6,30.54,
,0,0,29.5,30.7,
,0,0,29.4,30.83,
,0,0,29.3,30.96,
,0,0,29.2,31.12,
,0,0,29.1,31.33,
,0,0,29,31.33,
,0,0,28.9,31.48,
,0,0,28.8,31.65,
,0,0,28.7,31.77,
,0,0,28.6,31.91,
,0,0,28.5,32.22,
,0,0,28.4,32.18,
,0,0,28.3,32.26,
,0,0,28.2,32.43,
,0,0,28.1,32.63,
,0,0,28,32.8,
,0,0,27.9,32.89,
,0,0,27.8,33.04,
,0,0,27.7,33.18,
,0,0,27.6,33.32,
,0,0,27.5,33.47,
,0,0,27.4,33.63,
,0,0,27.3,33.79,
,0,0,27.2,33.94,
,0,0,27.1,34.11,
,0,0,27,34.3,
,0,0,26.9,34.48,
,0,0,26.8,34.61,
,0,0,26.7,34.79,
,0,0,26.6,34.88,
,0,0,26.5,35.05,
,0,0,26.4,35.23,
,0,0,26.3,35.37,
,0,0,26.2,35.48,
,0,0,26.1,35.65,
,0,0,26,35.87,
,0,0,25.9,36.04,
,0,0,25.8,36.18,
,0,0,25.7,36.32,
,0,0,25.6,36.45,
,0,0,25.5,36.61,
,0,0,25.4,36.82,
,0,0,25.3,37.02,
,0,0,25.2,37.19,
,0,0,25.1,37.34,
,0,0,25,37.49,
,0,0,24.9,37.72,
,0,0,24.8,37.85,
,0,0,24.7,37.99,
,0,0,24.6,38.15,
,0,0,24.5,38.3,
,0,0,24.4,38.48,
,0,0,24.3,38.79,
,0,0,24.2,38.91,
,0,0,24.1,39.05,
,0,0,24,39.21,
,0,0,23.9,39.34,
,0,0,23.8,39.46,
,0,0,23.7,39.64,
,0,0,23.6,39.9,
,0,0,23.5,40.14,
,0,0,23.4,40.35,
,0,0,23.3,40.54,
,0,0,23.2,40.69,
,0,0,23.1,40.78,
,0,0,23,40.99,
,0,0,22.9,41.2,
,0,0,22.8,41.4,
,0,0,22.7,41.58,
,0,0,22.6,41.79,
,0,0,22.5,42.05,
,0,0,22.4,42.2,
,0,0,22.3,42.33,
,0,0,22.2,42.5,
,0,0,22.1,42.71,
,0,0,22,42.97,
,0,0,21.9,43.17,
,0,0,21.8,43.34,
,0,0,21.7,43.51,
,0,0,21.6,43.68,
,0,0,21.5,43.87,
,0,0,21.4,44.11,
,0,0,21.3,44.35,
,0,0,21.2,44.58,
,0,0,21.1,44.77,
,0,0,21,44.93,
,0,0,20.9,45.12,
,0,0,20.8,45.36,
,0,0,20.7,45.55,
,0,0,20.6,45.74,
,0,0,20.5,45.96,
,0,0,20.4,46.16,
,0,0,20.3,46.36,
,0,0,20.2,46.57,
,0,0,20.1,46.81,
,0,0,20,47.02,
,0,0,19.9,47.21,
,0,0,19.8,47.39,
,0,0,19.7,47.65,
,0,0,19.6,48.07,
,0,0,19.5,48.11,
,0,0,19.4,48.29,
,0,0,19.3,48.52,
,0,0,19.2,48.77,
,0,0,19.1,49.04,
,0,0,19,49.33,
,0,0,18.9,49.41,
,0,0,18.8,49.63,
,0,0,18.7,49.89,
,0,0,18.6,50.16,
,0,0,18.5,50.43,
,0,0,18.4,50.68,
,0,0,18.3,50.86,
,0,0,18.2,51.05,
,0,0,18.1,51.24,
,0,0,18,51.48,
,0,0,17.9,51.78,
,0,0,17.8,52.15,
,0,0,17.7,52.23,
,0,0,17.6,52.48,
,0,0,17.5,52.77,
,0,0,17.4,53.02,
,0,0,17.3,53.23,
,0,0,17.2,53.46,
,0,0,17.1,53.76,
,0,0,17,53.98,
,0,0,16.9,54.19,
,0,0,16.8,54.45,
,0,0,16.7,54.76,
,0,0,16.6,54.96,
,0,0,16.5,55.18,
,0,0,16.4,55.4,
,0,0,16.3,55.66,
,0,0,16.2,55.95,
,0,0,16.1,56.26,
,0,0,16,56.5,
,0,0,15.9,56.76,
,0,0,15.8,57.03,
,0,0,15.7,57.31,
,0,0,15.6,57.61,
,0,0,15.5,57.91,
,0,0,15.4,58.1,
,0,0,15.3,58.41,
,0,0,15.2,58.65,
,0,0,15.1,58.85,
,0,0,15,59.07,
,0,0,14.9,59.36,
,0,0,14.8,59.69,
,0,0,14.7,60.02,
,0,0,14.6,60.27,
,0,0,14.5,60.48,
,0,0,14.4,60.68,
,0,0,14.3,60.92,
,0,0,14.2,61.35,
,0,0,14.1,61.69,
,0,0,14,61.99,
,0,0,13.9,62.26,
,0,0,13.8,62.52,
,0,0,13.7,62.8,
,0,0,13.6,63.13,
,0,0,13.5,63.41,
,0,0,13.4,63.71,
,0,0,13.3,63.99,
,0,0,13.2,64.25,
,0,0,13.1,64.48,
,0,0,13,64.83,
,0,0,12.9,65.12,
,0,0,12.8,65.43,
,0,0,12.7,65.75,
,0,0,12.6,66.08,
,0,0,12.5,66.4,
,0,0,12.4,66.68,
,0,0,12.3,67.01,
,0,0,12.2,67.33,
,0,0,12.1,67.64,
,0,0,12,67.95,
,0,0,11.9,68.25,
,0,0,11.8,68.48,
,0,0,11.7,68.79,
,0,0,11.6,69.12,
,0,0,11.5,69.44,
,0,0,11.4,69.73,
,0,0,11.3,70,
,0,0,11.2,70.36,
,0,0,11.1,70.69,
,0,0,11,71,
,0,0,10.9,71.3,
,0,0,10.8,71.62,
,0,0,10.7,71.99,
,0,0,10.6,72.32,
,0,0,10.5,72.65,
,0,0,10.4,73,
,0,0,10.3,73.37,
,0,0,10.2,73.76,
,0,0,10.1,74.15,
,0,0,10,74.2,
,0,0,9.9,74.57,
,0,0,9.8,75,
,0,0,9.7,75.42,
,0,0,9.6,75.84,
,0,0,9.5,76.23,
,0,0,9.4,76.48,
,0,0,9.3,76.79,
,0,0,9.2,77.14,
,0,0,9.1,77.48,
,0,0,9,77.76,
,0,0,8.9,77.95,
,0,0,8.8,78.43,
,0,0,8.7,78.8,
,0,0,8.6,79.17,
,0,0,8.5,79.55,
,0,0,8.4,79.95,
,0,0,8.3,80.33,
,0,0,8.2,80.59,
,0,0,8.1,80.98,
,0,0,8,81.4,
,0,0,7.9,81.79,
,0,0,7.8,82.17,
,0,0,7.7,82.52,
,0,0,7.6,82.95,
,0,0,7.5,83.3,
,0,0,7.39,83.64,
,0,0,7.29,83.98,
,0,0,7.19,84.29,
,0,0,7.09,84.61,
,0,0,6.99,85.13,
,0,0,6.89,85.58,
