ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
Color [A=255, R=255, G=0, B=255],Depth Dose,Photons,15,Water,10, 10
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,0,34,2.16,
,0,0,33.9,1.73,
,0,0,33.8,1.77,
,0,0,33.7,1.62,
,0,0,33.6,1.55,
,0,0,33.5,1.69,
,0,0,33.4,1.86,
,0,0,33.3,1.53,
,0,0,33.2,1.44,
,0,0,33.1,1.51,
,0,0,33,1.67,
,0,0,32.9,1.83,
,0,0,32.8,1.92,
,0,0,32.7,1.99,
,0,0,32.6,1.95,
,0,0,32.5,1.99,
,0,0,32.4,2.09,
,0,0,32.3,2.08,
,0,0,32.2,1.91,
,0,0,32.1,1.99,
,0,0,32,1.7,
,0,0,31.9,1.75,
,0,0,31.8,1.83,
,0,0,31.7,1.89,
,0,0,31.6,1.97,
,0,0,31.5,2.11,
,0,0,31.4,2.05,
,0,0,31.3,2.02,
,0,0,31.2,2.02,
,0,0,31.1,2.09,
,0,0,31,2.22,
,0,0,30.9,2.31,
,0,0,30.8,2.17,
,0,0,30.7,2.11,
,0,0,30.6,2.06,
,0,0,30.5,2.12,
,0,0,30.4,2.4,
,0,0,30.3,2.74,
,0,0,30.2,2.54,
,0,0,30.1,2.56,
,0,0,30,2.62,
,0,0,29.9,2.48,
,0,0,29.8,2.16,
,0,0,29.7,2.53,
,0,0,29.6,2.47,
,0,0,29.5,2.48,
,0,0,29.4,2.5,
,0,0,29.3,2.56,
,0,0,29.2,2.75,
,0,0,29.1,2.77,
,0,0,29,2.76,
,0,0,28.9,2.78,
,0,0,28.8,2.86,
,0,0,28.7,2.9,
,0,0,28.6,2.84,
,0,0,28.5,2.84,
,0,0,28.4,2.8,
,0,0,28.3,2.96,
,0,0,28.2,3.03,
,0,0,28.1,3.07,
,0,0,28,3.29,
,0,0,27.9,3.26,
,0,0,27.8,3.29,
,0,0,27.7,3.4,
,0,0,27.6,3.5,
,0,0,27.5,3.48,
,0,0,27.4,3.34,
,0,0,27.3,3.52,
,0,0,27.2,3.45,
,0,0,27.1,3.49,
,0,0,27,3.6,
,0,0,26.9,3.68,
,0,0,26.8,3.65,
,0,0,26.7,3.97,
,0,0,26.6,4.01,
,0,0,26.5,4.08,
,0,0,26.4,4.25,
,0,0,26.3,4.45,
,0,0,26.2,4.47,
,0,0,26.1,4.41,
,0,0,26,4.63,
,0,0,25.9,4.78,
,0,0,25.8,4.91,
,0,0,25.7,5.09,
,0,0,25.6,5.21,
,0,0,25.5,5.23,
,0,0,25.4,5.29,
,0,0,25.3,5.47,
,0,0,25.2,5.86,
,0,0,25.1,6.36,
,0,0,25,6.53,
,0,0,24.9,6.51,
,0,0,24.8,6.92,
,0,0,24.7,7.44,
,0,0,24.6,7.97,
,0,0,24.5,8.35,
,0,0,24.4,8.33,
