ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
Color [A=255, R=255, G=0, B=255],Inline,Photons,15,Water,20, 10
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,8.78,5,0.8,
,0,8.68,5,1.29,
,0,8.58,5,1.47,
,0,8.48,5,1.55,
,0,8.38,5,1.61,
,0,8.28,5,1.66,
,0,8.18,5,1.72,
,0,8.08,5,1.77,
,0,7.98,5,1.85,
,0,7.88,5,1.9,
,0,7.78,5,1.96,
,0,7.68,5,2.04,
,0,7.58,5,2.12,
,0,7.48,5,2.21,
,0,7.38,5,2.33,
,0,7.28,5,2.45,
,0,7.18,5,2.56,
,0,7.08,5,2.69,
,0,6.98,5,2.82,
,0,6.88,5,2.97,
,0,6.78,5,3.13,
,0,6.68,5,3.31,
,0,6.58,5,3.54,
,0,6.48,5,3.78,
,0,6.38,5,4.06,
,0,6.28,5,4.38,
,0,6.18,5,4.71,
,0,6.08,5,5.17,
,0,5.98,5,5.7,
,0,5.88,5,6.31,
,0,5.78,5,7.02,
,0,5.68,5,7.87,
,0,5.58,5,8.93,
,0,5.48,5,10.41,
,0,5.38,5,12.24,
,0,5.28,5,14.62,
,0,5.18,5,17.86,
,0,5.08,5,22.44,
,0,4.98,5,29.39,
,0,4.88,5,38.97,
,0,4.78,5,49.44,
,0,4.68,5,60.02,
,0,4.58,5,70.04,
,0,4.48,5,78.92,
,0,4.38,5,85.38,
,0,4.28,5,89.35,
,0,4.18,5,92.21,
,0,4.08,5,94.29,
,0,3.98,5,95.84,
,0,3.88,5,97.06,
,0,3.78,5,98.05,
,0,3.68,5,98.61,
,0,3.58,5,99.09,
,0,3.48,5,99.5,
,0,3.38,5,99.8,
,0,3.28,5,100.02,
,0,3.18,5,100.11,
,0,3.08,5,100.14,
,0,2.98,5,100.21,
,0,2.88,5,100.32,
,0,2.78,5,100.37,
,0,2.68,5,100.28,
,0,2.58,5,100.22,
,0,2.48,5,100.21,
,0,2.38,5,100.24,
,0,2.28,5,100.29,
,0,2.18,5,100.34,
,0,2.08,5,100.4,
,0,1.98,5,100.33,
,0,1.88,5,100.23,
,0,1.78,5,100.2,
,0,1.68,5,100.18,
,0,1.58,5,100.1,
,0,1.48,5,100.03,
,0,1.38,5,100.08,
,0,1.28,5,100.06,
,0,1.18,5,100.06,
,0,1.08,5,100.06,
,0,0.98,5,100.06,
,0,0.88,5,100.02,
,0,0.78,5,100.16,
,0,0.68,5,100.1,
,0,0.58,5,100.07,
,0,0.48,5,100.03,
,0,0.38,5,99.95,
,0,0.28,5,99.87,
,0,0.18,5,99.97,
,0,0.08,5,99.98,
,0,-0.02,5,100,
,0,-0.12,5,100.01,
,0,-0.22,5,99.96,
,0,-0.32,5,99.84,
,0,-0.42,5,99.84,
,0,-0.52,5,99.97,
,0,-0.62,5,100,
,0,-0.72,5,99.99,
,0,-0.82,5,99.96,
,0,-0.92,5,99.72,
,0,-1.02,5,99.81,
,0,-1.12,5,99.96,
,0,-1.22,5,100,
,0,-1.32,5,99.98,
,0,-1.42,5,99.97,
,0,-1.52,5,99.97,
,0,-1.62,5,100.01,
,0,-1.72,5,100.02,
,0,-1.82,5,99.98,
,0,-1.92,5,99.98,
,0,-2.02,5,100.01,
,0,-2.12,5,99.81,
,0,-2.22,5,99.95,
,0,-2.32,5,99.92,
,0,-2.42,5,99.88,
,0,-2.52,5,99.87,
,0,-2.62,5,99.86,
,0,-2.72,5,99.8,
,0,-2.82,5,99.84,
,0,-2.92,5,99.85,
,0,-3.02,5,99.77,
,0,-3.12,5,99.64,
,0,-3.22,5,99.51,
,0,-3.32,5,99.35,
,0,-3.42,5,99.28,
,0,-3.52,5,99.08,
,0,-3.62,5,98.76,
,0,-3.72,5,98.31,
,0,-3.82,5,97.67,
,0,-3.92,5,96.76,
,0,-4.02,5,95.54,
,0,-4.12,5,93.9,
,0,-4.22,5,91.65,
,0,-4.32,5,88.48,
,0,-4.42,5,83.85,
,0,-4.52,5,76.87,
,0,-4.62,5,67.33,
,0,-4.72,5,56.83,
,0,-4.82,5,46.19,
,0,-4.92,5,36.08,
,0,-5.02,5,27.12,
,0,-5.12,5,20.32,
,0,-5.22,5,16.65,
,0,-5.32,5,13.87,
,0,-5.42,5,11.67,
,0,-5.52,5,9.97,
,0,-5.62,5,8.63,
,0,-5.72,5,7.6,
,0,-5.82,5,6.81,
,0,-5.92,5,6.12,
,0,-6.02,5,5.54,
,0,-6.12,5,5.04,
,0,-6.22,5,4.61,
,0,-6.32,5,4.24,
,0,-6.42,5,3.96,
,0,-6.52,5,3.69,
,0,-6.62,5,3.46,
,0,-6.72,5,3.25,
,0,-6.82,5,3.05,
,0,-6.92,5,2.91,
,0,-7.02,5,2.76,
,0,-7.12,5,2.62,
,0,-7.22,5,2.5,
,0,-7.32,5,2.38,
,0,-7.42,5,2.27,
,0,-7.52,5,2.19,
,0,-7.62,5,2.11,
,0,-7.72,5,2.02,
,0,-7.82,5,1.94,
,0,-7.92,5,1.87,
,0,-8.02,5,1.79,
,0,-8.12,5,1.76,
,0,-8.22,5,1.67,
,0,-8.32,5,1.6,
,0,-8.42,5,1.55,
,0,-8.52,5,1.5,
,0,-8.62,5,1.46,
Color [A=255, R=255, G=69, B=0],Crossline,Photons,15,Water,20, 10
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,13.5,0,5,0.45,
,13.4,0,5,0.73,
,13.3,0,5,0.82,
,13.2,0,5,0.86,
,13.1,0,5,0.86,
,13,0,5,0.86,
,12.9,0,5,0.88,
,12.8,0,5,0.91,
,12.7,0,5,0.92,
,12.6,0,5,0.91,
,12.5,0,5,0.93,
,12.4,0,5,0.95,
,12.3,0,5,0.96,
,12.2,0,5,0.97,
,12.1,0,5,0.94,
,12,0,5,0.98,
,11.9,0,5,1.01,
,11.8,0,5,1.02,
,11.7,0,5,1.03,
,11.6,0,5,1.07,
,11.5,0,5,1.06,
,11.4,0,5,1.07,
,11.3,0,5,1.09,
,11.2,0,5,1.12,
,11.1,0,5,1.15,
,11,0,5,1.17,
,10.9,0,5,1.15,
,10.8,0,5,1.18,
,10.7,0,5,1.2,
,10.6,0,5,1.22,
,10.5,0,5,1.24,
,10.4,0,5,1.26,
,10.3,0,5,1.29,
,10.2,0,5,1.31,
,10.1,0,5,1.34,
,10,0,5,1.38,
,9.9,0,5,1.41,
,9.8,0,5,1.4,
,9.7,0,5,1.41,
,9.6,0,5,1.45,
,9.5,0,5,1.49,
,9.4,0,5,1.53,
,9.3,0,5,1.55,
,9.2,0,5,1.58,
,9.1,0,5,1.61,
,9,0,5,1.64,
,8.9,0,5,1.68,
,8.8,0,5,1.72,
,8.7,0,5,1.75,
,8.6,0,5,1.76,
,8.5,0,5,1.83,
,8.4,0,5,1.87,
,8.3,0,5,1.9,
,8.2,0,5,1.94,
,8.1,0,5,1.99,
,8,0,5,2.03,
,7.9,0,5,2.08,
,7.8,0,5,2.14,
,7.7,0,5,2.19,
,7.6,0,5,2.23,
,7.5,0,5,2.27,
,7.4,0,5,2.31,
,7.3,0,5,2.41,
,7.2,0,5,2.47,
,7.1,0,5,2.53,
,7,0,5,2.59,
,6.9,0,5,2.65,
,6.8,0,5,2.7,
,6.7,0,5,2.81,
,6.6,0,5,2.89,
,6.5,0,5,2.96,
,6.4,0,5,3.05,
,6.3,0,5,3.15,
,6.2,0,5,3.21,
,6.1,0,5,3.29,
,6,0,5,3.41,
,5.9,0,5,3.54,
,5.8,0,5,3.66,
,5.7,0,5,3.76,
,5.6,0,5,3.91,
,5.5,0,5,4.04,
,5.4,0,5,4.19,
,5.3,0,5,4.35,
,5.2,0,5,4.53,
,5.1,0,5,4.71,
,5,0,5,4.9,
,4.9,0,5,5.13,
,4.8,0,5,5.4,
,4.7,0,5,5.69,
,4.6,0,5,6.01,
,4.5,0,5,6.38,
,4.4,0,5,6.77,
,4.3,0,5,7.28,
,4.2,0,5,7.88,
,4.1,0,5,8.59,
,4,0,5,9.39,
,3.9,0,5,10.28,
,3.8,0,5,11.55,
,3.7,0,5,13.27,
,3.6,0,5,15.46,
,3.5,0,5,18.3,
,3.4,0,5,22.01,
,3.3,0,5,26.67,
,3.2,0,5,32.74,
,3.1,0,5,40.47,
,3,0,5,48.95,
,2.9,0,5,57.66,
,2.8,0,5,66.08,
,2.7,0,5,73.75,
,2.6,0,5,79.96,
