ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
Color [A=255, R=255, G=0, B=255],Inline,Photons,15,Water,20, 20
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,0,13.3,2.6,0.47,
,0,13.2,2.6,0.51,
,0,13.1,2.6,0.52,
,0,13,2.6,0.52,
,0,12.9,2.6,0.54,
,0,12.8,2.6,0.56,
,0,12.7,2.6,0.56,
,0,12.6,2.6,0.56,
,0,12.5,2.6,0.58,
,0,12.4,2.6,0.59,
,0,12.3,2.6,0.6,
,0,12.2,2.6,0.62,
,0,12.1,2.6,0.63,
,0,12,2.6,0.63,
,0,11.9,2.6,0.66,
,0,11.8,2.6,0.66,
,0,11.7,2.6,0.67,
,0,11.6,2.6,0.68,
,0,11.5,2.6,0.7,
,0,11.4,2.6,0.71,
,0,11.3,2.6,0.74,
,0,11.2,2.6,0.74,
,0,11.1,2.6,0.75,
,0,11,2.6,0.76,
,0,10.9,2.6,0.77,
,0,10.8,2.6,0.77,
,0,10.7,2.6,0.8,
,0,10.6,2.6,0.82,
,0,10.5,2.6,0.84,
,0,10.4,2.6,0.86,
,0,10.3,2.6,0.86,
,0,10.2,2.6,0.88,
,0,10.1,2.6,0.91,
,0,10,2.6,0.96,
,0,9.9,2.6,0.97,
,0,9.8,2.6,0.99,
,0,9.7,2.6,1.01,
,0,9.6,2.6,1.04,
,0,9.5,2.6,1.08,
,0,9.4,2.6,1.09,
,0,9.3,2.6,1.11,
,0,9.2,2.6,1.14,
,0,9.1,2.6,1.17,
,0,9,2.6,1.19,
,0,8.9,2.6,1.24,
,0,8.8,2.6,1.27,
,0,8.7,2.6,1.32,
,0,8.6,2.6,1.36,
,0,8.5,2.6,1.4,
,0,8.4,2.6,1.47,
,0,8.3,2.6,1.51,
,0,8.2,2.6,1.53,
,0,8.1,2.6,1.59,
,0,8,2.6,1.66,
,0,7.9,2.6,1.72,
,0,7.8,2.6,1.77,
,0,7.7,2.6,1.84,
,0,7.6,2.6,1.94,
,0,7.5,2.6,2.02,
,0,7.4,2.6,2.09,
,0,7.3,2.6,2.18,
,0,7.2,2.6,2.28,
,0,7.1,2.6,2.37,
,0,7,2.6,2.47,
,0,6.9,2.6,2.58,
,0,6.8,2.6,2.72,
,0,6.7,2.6,2.87,
,0,6.6,2.6,3.01,
,0,6.5,2.6,3.2,
,0,6.4,2.6,3.4,
,0,6.3,2.6,3.63,
,0,6.2,2.6,3.9,
,0,6.1,2.6,4.2,
,0,6,2.6,4.54,
,0,5.9,2.6,4.95,
,0,5.8,2.6,5.46,
,0,5.7,2.6,6.09,
,0,5.6,2.6,6.85,
,0,5.5,2.6,7.78,
,0,5.4,2.6,8.94,
,0,5.3,2.6,10.64,
,0,5.2,2.6,12.86,
,0,5.1,2.6,16.11,
,0,5,2.6,20.84,
,0,4.9,2.6,27.5,
,0,4.8,2.6,36.51,
,0,4.7,2.6,47.97,
,0,4.6,2.6,59.47,
,0,4.5,2.6,70.34,
,0,4.4,2.6,79.92,
,0,4.3,2.6,87.61,
,0,4.2,2.6,92.88,
,0,4.1,2.6,95.3,
,0,4,2.6,96.91,
,0,3.9,2.6,98.02,
,0,3.8,2.6,98.78,
,0,3.7,2.6,99.29,
,0,3.6,2.6,99.59,
,0,3.5,2.6,99.79,
,0,3.4,2.6,100.03,
,0,3.3,2.6,100.24,
,0,3.2,2.6,100.4,
,0,3.1,2.6,100.47,
,0,3,2.6,100.39,
,0,2.9,2.6,100.43,
,0,2.8,2.6,100.46,
,0,2.7,2.6,100.44,
,0,2.6,2.6,100.36,
,0,2.5,2.6,100.31,
,0,2.4,2.6,100.56,
,0,2.3,2.6,100.49,
,0,2.2,2.6,100.47,
,0,2.1,2.6,100.46,
,0,2,2.6,100.43,
,0,1.9,2.6,100.42,
,0,1.8,2.6,100.36,
,0,1.7,2.6,100.42,
,0,1.6,2.6,100.37,
,0,1.5,2.6,100.3,
,0,1.4,2.6,100.25,
,0,1.3,2.6,100.25,
,0,1.2,2.6,100.33,
,0,1.1,2.6,100.26,
,0,1,2.6,100.21,
,0,0.9,2.6,100.19,
,0,0.8,2.6,100.18,
,0,0.7,2.6,100.09,
,0,0.6,2.6,100.12,
,0,0.5,2.6,100.16,
,0,0.4,2.6,100.15,
,0,0.3,2.6,100.12,
,0,0.2,2.6,100.13,
,0,0.1,2.6,100.17,
,0,0,2.6,100,
,0,-0.1,2.6,100.06,
,0,-0.2,2.6,100.05,
,0,-0.3,2.6,100.06,
,0,-0.4,2.6,100.09,
,0,-0.5,2.6,100.04,
,0,-0.6,2.6,99.97,
,0,-0.7,2.6,100.11,
